type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Marbella Blush Rosé,2020,Bodegas Málaga Virgen,Sierras de Málaga,España,Syrah,,0.0,5,0,1,-1,-1,-1,"24,70 €",,False
Vinos rosados y rosé,Casa Ravella Ton del Ros,2020,Casa Ravella,Penedès,España,Merlot,ECO,5.0,5,1,2,-1,-1,-1,"7,61 €","8,95 €",True
Vinos rosados y rosé,Bri Rosat del Celler de l'Era,2021,Celler de l'Era,Montsant,España,Garnacha / Syrah,ECO,4.0,5,1,1,-1,-1,-1,"7,50 €",,False
Vinos rosados y rosé,Raimat Abadia Rosat,2020,Raimat,Costers del Segre,España,Cabernet sauvignon / Tempranillo,ECO,5.0,5,3,1,-1,-1,-1,"7,45 €",,False
Vinos rosados y rosé,Alquézar Rosado,2021,Bodega Pirineos,Somontano,España,Tempranillo / Garnacha,,4.16667,5,6,1,-1,-1,-1,"5,60 €",,False
Vinos rosados y rosé,Torres De Casta,2021,Propiedad Bodegas Torres,Catalunya,España,Cariñena / Garnacha,,4.56,5,25,1,-1,-1,-1,"5,40 €",,False
Vinos rosados y rosé,Oliver Conti Indispensable Rosé,2021,Oliver Conti,Empordà,España,Garnacha,,4.0,5,1,3,-1,-1,-1,"5,90 €",,False
Vinos rosados y rosé,Viña Aljibes Rosado,2020,Bodegas los Aljibes,Castilla,España,Syrah,,4.28571,5,7,0,-1,-1,-1,"5,60 €",,False
Vinos rosados y rosé,Príncipe de Viana Rosado Cabernet Sauvignon,2021,Bodegas Prí­ncipe de Viana,Navarra,España,Cabernet sauvignon / Merlot,,4.0,5,3,1,-1,-1,-1,"4,85 €",,False
Vinos rosados y rosé,Viñas del Vero Merlot Tempranillo,2021,Viñas del Vero,Somontano,España,Merlot / Tempranillo,,4.5,5,8,0,-1,-1,-1,"4,50 €",,False
Vinos rosados y rosé,Clos de Torribas Rosat,2020,Bodegas Pinord,Penedès,España,Cabernet sauvignon / Merlot / Tempranillo,ECO,5.0,5,1,1,-1,-1,-1,"5,95 €",,False
Vinos rosados y rosé,Colegiata Rosado,2021,Bodegas Fariña,Toro,España,Tinta de Toro,,4.42857,5,7,4,-1,-1,-1,"5,60 €",,False
Vinos rosados y rosé,Beso de Vino Garnacha Rosé,2018,Grandes Vinos,Cariñena,España,Garnacha,,0.0,5,0,1,-1,-1,-1,"3,82 €","4,50 €",True
